z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
0,1,n,-0.1149,0.0027,,,,0,,,1/2+,613.9,,6,s,613.9,0.6,B-,100,,,,,,,,,-1.9130427,0.0000005,,,782.347,0.0004,,,,,,,0.0,0.0,,,0,0.0,1008664.9159,0.00047,8071.31806,0.00044,N,,31-Oct-2005,BALRAJ SINGH,2023-10-18
0,4,n,,,,,,0,,,0+,2.6,LT,,MeV,1.7547604425822527e-22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-Aug-2017,J.E. Purcell and  C.G. Sheu,2023-10-18
0,6,n,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-March-2017,J.H. Kelley and  G.C. Sheu,2023-10-18
1,0,H,0.8783,0.0086,99.9855,0.0078,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,2.792847351,0.000000009,,,,,,,,,-782.347,0.0,,,0.0,0.0,0,0.0,1007825.031898,0.000014,7288.971064,0.000013,N,1920,31-Oct-2005,BALRAJ SINGH,2023-10-18
1,1,H,2.1421,0.0088,0.0145,0.0078,,0,,,1+,STABLE,,,,,,,,,,,,,,,,0.857438231,0.000000005,0.0028578,0.0000003,,,,,,,,,2224.5662,0.0004,2224.5662,0.0004,1112.2831,0.0002,2014101.777844,0.000015,13135.722895,0.000015,N,1932,1-May-2003,J.H. KELLEY and  J.L. GODWIN,2023-10-18
1,2,H,1.7591,0.0363,,,,0,,,1/2+,12.32,,2,Y,388781328.00697345,631138.51949184,B-,100,,,,,,,,,2.97896246,0.000000014,,,18.59202,0.00006,,,,,,,6257.2301,0.0004,,,2827.2654,0.0003,3016049.28132,0.00008,14949.81090,0.00008,N,1934,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2023-10-18
1,3,H,,,,,,0,,,2-,,,,,,,N,100,,,,,,,,1,,,,,22196.2131,100.0000,1618.5921,100.0000,,,,,-1600.0000,100.0000,,,1720.4491,25.0000,4026431.867,107.354,24621.129,100.000,N,1981,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18
1,4,H,,,,,,0,,,(1/2+),5.3,,4,MeV,8.608258774931805e-23,6.4967990754202316e-24,2N,100,,,,,,,,,,,,,21661.2131,91.6515,22396.2132,89.4427,,,,,-200.0000,134.1641,,,1336.3592,17.8885,5035311.492,96.020,32892.447,89.443,N,1987,28-Feb-2019,J.E. Purcell and  C.G. Sheu,2023-10-18
1,5,H,,,,,,0,,,,1.55,,44,MeV,2.943469129492811e-22,8.355654303076366e-23,,,,,,,,,,,,,,,24283.6294,254.1268,22573.1725,254.9126,,,,,-911.9594,269.4075,,,961.6395,42.3545,6044955.437,272.816,41875.725,254.127,N,1984,23-March-2017,J.E. Purcell and  C.G. Sheu,2023-10-18
1,6,H,,,,,,0,,,(1/2+),0.09,,+94-6,MeV,5.069307945237619e-21,2.816282191798677e-20,,,,,,,,,,,,,,,23062,1004,23472,1004,,,,,812,1036,,,940,143,7052749,1078,49135,1004,Y,2003,23-March-2017,J.E. Purcell and  C.G. Sheu,2023-10-18
2,1,He,1.9661,0.0030,0.0002,0.0002,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-2.12762531,0.00000003,,,-13736,2000,,,,,-18.592,0.0,,,5493.4751,0.0001,2572.68044,0.00015,3016029.32197,0.00006,14931.21888,0.00006,N,1934,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2023-10-18
2,2,He,1.6755,0.0028,99.9998,0.0002,,0,,,0+,STABLE,,,,,,,,,,,,,,,0,,,,,-22898.274,212.1320,-34313,2000,0,0.0,-22196.213,100.0,20577.6211,0.0005,19813.8661,0.0002,7073.9156,0.0002,4002603.25413,0.00016,2424.91587,0.00015,N,1908,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18
2,3,He,,,,,,0,,,3/2-,0.648,,,MeV,7.040705479496693e-22,0,N,,,,,,,,,1/2,,,,,-447.6529,53.8516,-22163.2740,213.0728,735,20.0000,-21661.213,91.652,-735.0000,20.0000,20678.8661,101.9804,5512.1325,4.0000,5012057.224,21.470,11231.234,20.000,N,1937,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2023-10-18
2,4,He,2.0660,0.0111,,,,0,,,0+,806.7,,15,ms,0.8067,0.0015,B-,100,,,,,,,,1,,,,,3505.2147,0.0532,-2158.1098,50.0000,,,-24283.63,254.12,1710.4569,20.0001,22589.3230,89.4427,4878.5199,0.0089,6018885.889,0.057,17592.095,0.053,N,1936,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2023-10-18
2,5,He,,,,,,0,,,(3/2)-,150,,20,keV,3.0415847671425716e-21,4.0554463561900954e-22,N,,,,,,,,,3/2,,,,,11166.0229,7.5595,3914.9290,7.5595,,,-23061.872,1004.028,-409.7143,7.5593,23091.5681,254.2392,4123.0578,1.0799,7027990.652,8.115,26073.128,7.559,N,1967,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2023-10-18
2,6,He,1.9239,0.0306,,,,0,,,0+,119.1,,12,ms,0.1191,0.0012,B-,100,,B-N,16,1,,,,2,,,,,10663.8784,0.1005,8631.2602,0.0887,,,,,2534.7627,7.5600,24814,1004,3924.521,0.0111,8033934.388,0.095,31609.683,0.089,N,1965,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18
2,7,He,,,,,,0,,,1/2+,,,,,,,N,100,,,,,,,,5/2,,,,,15980.9213,46.8169,11918.7038,46.8165,,,,,-1254.8254,46.8165,,,3349.038,5.2018,9043946.414,50.259,40935.826,46.816,N,1987,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18
2,8,He,,,,,,0,,,(0+),300,,200,keV,1.5207923835712858e-21,1.0138615890475237e-21,N,100,,,,,,,,3,,,,,16144.5191,93.7152,16170.9236,92.8479,,,,,-190.0023,103.9830,,,2995.134,9.2848,10052815.306,99.676,49197.147,92.848,N,1994,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18
3,1,Li,,,,,,0,,,2-,,,,,,,P,100,,,,,,,,1,,,,,,,,,,,22898.274,212.132,11415,2011,-3102.9999,212.1320,1153.7603,53.0330,4027185.561,227.733,25323.190,212.132,N,1965,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18
3,2,Li,,,,,,0,,,3/2-,1.23,,,MeV,3.709249716027526e-22,0,P,,,,,,,,,1/2,,,,,-25460,2003,,,1964.9999,50.0000,447.653,53.852,21715.6211,217.9449,-1964.9999,50.0000,5266.1325,10.0000,5012537.8,53.677,11678.887,50.000,N,1941,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2023-10-18
3,3,Li,2.5890,0.0390,4.85,1.71,,0,,,1+,STABLE,,,,,,,,,,,,,,,0,0.822043,0.000003,-0.000806,0.000006,-4288.1534,5.4478,-31123,2003,-1473.7583,0.0015,-3505.215,0.053,5663.3245,50.0000,4433.3246,20.0000,5332.3312,0.0003,6015122.88742,0.00155,14086.88044,0.00144,N,1921,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2023-10-18
3,4,Li,2.4440,0.0420,95.15,1.71,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,1/2,3.256407,0.000012,-0.04,0.0003,-861.893,0.0707,-11539.2472,5.4478,-2467.6221,0.0042,-11166.023,7.559,7251.0939,0.0045,9973.9616,0.0531,5606.4401,0.0006,7016003.43426,0.00450,14907.10463,0.00419,N,1921,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2023-10-18
3,5,Li,2.3390,0.0440,,,,0,,,2+,839.9,,9,ms,0.8399,0.0009,B-A,100,,B-,100,,,,,1,1.6535,0.00002,0.0314,0.0002,16004.1329,0.0591,-2894.5112,0.0850,-6100.2403,100.0000,-10663.878,0.101,2032.6182,0.0472,12416.2941,7.5596,5159.7124,0.0059,8022486.244,0.050,20945.805,0.047,N,1935,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18
3,6,Li,2.2450,0.0460,,,,0,,,3/2-,178.3,,4,ms,0.1783,0.0004,B-,100,,B-N,50.8,0.2,,,,3/2,3.43666,0.00006,-0.0304,0.0002,13606.4541,0.2014,11941.9153,0.1896,-10362.4579,89.4429,-15980.921,46.816,4062.2175,0.1922,13943.7489,0.2064,5037.7685,0.0207,9026790.191,0.200,24954.905,0.186,N,1951,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18
