MapNo,Lon,Lat,DeltaR,DeltaRErr,Reference,Locality,Subregion,Notes,CollectionYear,ReservoirAge,ReservoirErr,C14age,C14err,LabID,Delta13C,TaxaNo,RefNo,nextime,last_changed
688,8.22,56.72,55,106,Heier-Nielse:1995,"Thybor�n Kanal, Limfjorden, at Sandene",,b,1909,547,106,663,106,AAR-986,,45,74,,11/08/2020 23:00
690,8.23,56.62,68,59,Heier-Nielse:1995,"Nissum Bredning, Limfjorden",,b,1909,560,59,676,59,AAR-990,,2,74,,11/08/2020 23:00
3,10.67,79.57,-9,45,"Mangerud, J :1975","Magdalenafj, Spitsbergen",,,1878,500,46,625,45,T-1541,,23,102,,11/08/2020 23:00
4,14,79.5,-73,70,"Mangerud, J,:1972","Tangen, Mushamna, Spitsbergen",,"g,h",1952,327,72,530,70,U-133,,23,101,,11/08/2020 23:00
5,15.6,78.25,-22,50,"Mangerud, J :1975","Adventbukta, Spitsbergen",,,1878,487,50,612,50,T-1540,,23,102,,11/08/2020 23:00
6,14.13,78.12,-87,37,"Mangerud, J :1975","Isfjorden, Spitsbergen",,,1925,368,38,517,37,T-1539,,57,102,,11/08/2020 23:00
7,15,77.67,-65,37,"Mangerud, J :1975","Bellsund, Spitsbergen",,,1926,386,38,539,37,T-1538,,57,102,,11/08/2020 23:00
8,19.07,74.12,-92,34,"Mangerud, J :1975",Near Bear Island,,,1900,425,35,521,34,T-1537,,57,102,,11/08/2020 23:00
9,-74.92,78.75,75,70,Coulthard RD:2010,"Rice Strait, Smith Sound",,,1898,592,50,690,70,T-1544,-1.1,23,32,,11/08/2020 23:00
10,-89,76.75,227,70,Coulthard RD:2010,"Goose Bay, Jones Sound",,c,1900,744,51,840,70,T-1543,-1.1,23,32,,11/08/2020 23:00
11,-84.5,76.5,106,70,Coulthard RD:2010,"Havnefjorden, Jones Sound",,,1899,623,50,720,70,T-1542,-0.8,23,32,,11/08/2020 23:00
711,-114.67,67.92,25,100,"McNeely R., :2006","Coronation Gulf, NU",Arctic Ocean Coastal,,1916,504,100,630,100,GSC-0117,-0.09,155,105,,11/08/2020 23:00
706,-156.48,71.4,264,40,"McNeely R., :2006","Pt. Barrow, AK",Arctic Ocean Coastal,,1913,750,40,870,40,CAMS-57293,-0.1,155,105,,11/08/2020 23:00
710,-110.13,68.02,74,30,Coulthard RD:2010,"Bathurst Inlet, NU",Arctic Ocean Coastal,,1915,557,30,680,30,CAMS-57297,2.2,108,32,,11/08/2020 23:00
707,-156.48,71.4,404,30,"McNeely R., :2006","Pt. Barrow, AK",Arctic Ocean Coastal,,1913,890,30,1010,30,CAMS-57294,0.2,149,105,,11/08/2020 23:00
708,-114.7,68.77,224,40,Coulthard RD:2010,"Dophin & Union Str., NU",Arctic Ocean Coastal,,1914,709,40,830,40,CAMS-57295,0.6,155,32,,11/08/2020 23:00
705,-161.42,70.4,454,40,"McNeely R., :2006","Chukchi Sea, AK",Arctic Ocean Coastal,,1913,940,40,1060,40,CAMS-57292,0.1,131,105,,11/08/2020 23:00
703,-116,69.13,274,50,Coulthard RD:2010,"Dophin & Union Str., NU",Arctic Ocean Coastal,,1915,757,50,880,50,CAMS-34653,2.49,36,32,,11/08/2020 23:00
20,-19.27,74.38,-23,38,Håkansson S:1973,S of L. Penduluisoen and SE of Clavering,,,1899,494,39,591,38,Lu-0650,,315,68,,11/08/2020 23:00
21,-21.5,73.47,37,47,Håkansson S:1973,"Mackenziebugt, NE Greenland",,,1900,554,48,650,47,Lu-0609,,315,68,,11/08/2020 23:00
22,-21.5,73.47,7,54,Håkansson S:1973,"Mackenziebugt, NE Greenland",,,1900,524,54,620,54,Lu-0610,,315,68,,11/08/2020 23:00
23,-22.55,70.83,27,39,Håkansson S:1973,"Fame Qer, Scoresby Sund, NE Greenland",,,1899,544,40,641,39,Lu-0643,,315,68,,11/08/2020 23:00
692,8.65,56.45,375,63,Heier-Nielse:1995,"Struer, Limfjorden",,b,1886,886,63,1003,63,AAR-989,,45,74,,11/08/2020 23:00
38,-54.73,72.37,-207,44,"Mörner, N.-:1990",Proven harvour,,l,1936,236,45,396,44,K-381,,155,107,,14/09/2024 14:59
31,-18.73,76.75,-39,58,"Funder, S, 1:1982",Danmarkshavn (depth up to ten fathoms),,"g(1),l",1907,460,58,570,58,K-353,,152,53,,14/09/2024 14:59
