TaxaNo,Genus,Species,Feeding,ClassNo
1,Abra,alba,Deposit,15
2,Abra,nitida,Deposit,15
3,Acanthocardia,echinata,suspension,15
4,Acanthocardia,tuberculata,unknown,15
5,Acmaea,mitra,Deposit,18
6,Adamussium,colbecki,suspension,15
s,Aequipecten,opercularis,suspension,15
8,Alcithoe,arabica,Carnivore,18
9,Amiantis,purpurata,unknown,15
11,Anadara,grandis,unknown,15
13,Anadara,trapezia,suspension,15
14,Arca,nodulosa,suspension,15
15,Arca,noé,suspension,15
16,Arca,tetragona,suspension,15
17,Arca,tuberculosa,suspension,15
18,Architectonica,sp.,unknown,18
19,Arctica,islandica,suspension,15
20,Argopecten,irradians,suspension,15
21,Asaphis,deflorata,suspension,15
22,Asaphis,violascens,unknown,15
23,Astarte,borealis,suspension,15
24,Astarte,crenata,suspension,15
25,Astarte,elliptica,unknown,15
26,Astarte,montagui,suspension,15
27,Astarte,subequilatera,unknown,15
28,Astarte,warhami,suspension,15
29,Astraea,undosa,browser,18
30,Atrina,pectinata,suspension,15
31,Austrovenus,stutchburyi,suspension,15
32,Balanus,sp.,suspension,14
33,Balanus,balanus,suspension,14
34,Balanus,crenatus,suspension,14
36,Bathyarca,glacialis,suspension,15
37,Buccinum,sp.,Carnivore,18
38,Buccinum,glaciale,unknown,18
39,Buccinum,undatum,Carnivore,18
40,Callista,maculata,unknown,15
42,Cellana,exarata,browser,18
43,Cerastoderma,corrugatum,unknown,15
44,Cerastoderma,edule,unknown,15
45,Cerastoderma,sp.,suspension,15
46,Cerastoderma,glaucum,suspension,15
47,Cerithidea,valida,Deposit,18
48,Chamelea,gallina,suspension,15
49,Charonia,sp.,Carnivore,18
50,Chicoreus,ramosus,Carnivore,18
51,Chione,californiensis,suspension,15
52,Chione,fluctifraga,suspension,15
53,Chione,gibbolusa,suspension,15
54,Chione,gnidia,unknown,15
55,Chione,kellettii,suspension,15
56,Chlamys,glaber,suspension,15
57,Chlamys,islandica,suspension,15
58,Chlamys,opercularis,suspension,15
59,Chlamys,varia,suspension,15
60,Ciliatocardium,ciliatum,suspension,15
61,Circenita,callipyga,suspension,15
62,Clinocardium,ciliatum,suspension,15
63,Clinocardium,nuttalli,suspension,15
64,Colus,pygmaeus,Carnivore,18
65,Columbella,rustica,Deposit,18
66,Concholepas,concholepas,Carnivore,18
462,Spisula,solida,suspension,15
68,Conus,distans,Carnivore,18
69,Conus,lividus,Carnivore,18
70,Conus,monule,unknown,18
71,Conus,sanguinolentus,Carnivore,18
72,Crassostrea,gigas,suspension,15
73,Crassostrea,virginica,suspension,15
74,Crenella,faba,suspension,15
75,Crepidula,grandis,suspension,18
76,Crepidula,fornicata,suspension,18
77,Cronia,margariticola,suspension,18
78,Cyclocardia,borealis,suspension,15
79,Cyclopecten,groenlandicus,suspension,15
80,Cymbium,papillatus,Carnivore,18
81,Cymia,gradata,Carnivore,15
82,Cypraea,sp.,unknown,18
83,Cypraea,caputserpentis,unknown,18
84,Cypraea,tigris,unknown,18
86,Diodora,italica,browser,18
87,Donax,deltoides,suspension,15
88,Donax,grunculus,suspension,15
89,Dosinia,anus,suspension,15
90,Dosinia,exoleta,suspension,15
91,Dosinia,lupinus,suspension,15
92,Ensis,directus,suspension,15
93,Ensis,siliqua,suspension,15
94,Eucrassatella,cumingi,suspension,15
95,Eupleura,caudata,Carnivore,18
96,Euspira,Heros,Carnivore,18
97,Fasciolaria,Princeps,Carnivore,18
98,Fragum,fragum,suspension,15
99,Gafrarium,pectinatum,suspension,15
100,Gafrarium,scriptum,suspension,15
101,Gafrarium,tumidum,unknown,15
102,Geukensia,elemissa,suspension,15
103,Geukensia,demissa,suspension,15
104,Glycymeris,glycymeris,suspension,15
105,Gomphina,aequilatera,suspension,15
106,Haliotes,sp.,unknown,18
107,Haliotes,cyclobates,browser,18
108,Hiatella,arctica,suspension,15
109,Hyotissa,hyotis,unknown,15
110,Iphigenia,braziliana,suspension,15
111,Irus,irus,unknown,15
112,Irus,rugosus,unknown,15
113,Ischnochiton,albae,browser,17
114,Janthina,janthina,Carnivore,18
115,Katelysia,peronii,suspension,15
116,Katelysia,rhytiphora,suspension,15
117,Kelletia,kelleti,Scavenger,18
118,Laevicardium,biradiatum,suspension,15
119,Laevicardium,flavum,unknown,15
120,Laevicardium,norvegicum,suspension,15
121,Leda,commutata,Deposit,15
122,Liiona,pica,unknown,18
123,Liothyrella,uva,suspension,16
124,Littorina,littorea,browser,18
125,Littorina,rudis,Deposit,18
126,Lunatia,lewisii,suspension,18
127,Lutraria,lutraria,suspension,15
128,Macoma,sp.,Deposit,15
129,Macoma,dispar,unknown,15
130,Macoma,balthica,unknown,15
131,Macoma,calcarea,Deposit,15
132,Macoma,nasuta,suspension,15
460,Donax,trunculus,suspension,15
134,Mactra,corallina,suspension,15
135,Marcia,flammea,unknown,15
136,Marcia,opima,unknown,15
137,Marcia,paupercula,unknown,15
138,Marcia,pinguis,suspension,15
139,Marcia,recens,unknown,15
140,Margarites,groenlandicus,Deposit,18
141,Marginatus,costalis,Deposit,18
142,Nassarius,trivittatus,Carnivore,18
143,Megayoldia,thraciaeformis,Deposit,15
144,Mercenaria,mercenaria,suspension,15
145,Mizuhopecten,yessoensis,unknown,15
146,Modiolus,modiolus,suspension,15
147,Muricanthus,regius,Carnivore,18
148,Musculus,discors,suspension,15
149,Musculus,niger,suspension,15
